iter	Passed	Remaining
727	27767	2746
728	27802	2707
729	27838	2669
730	27878	2631
731	27921	2593
732	27956	2555
733	27996	2517
734	28031	2478
735	28068	2440
736	28110	2402
737	28145	2364
738	28177	2325
739	28212	2287
740	28250	2249
741	28287	2211
742	28324	2172
743	28359	2134
744	28394	2096
745	28429	2057
746	28463	2019
747	28500	1981
748	28536	1943
749	28572	1904
750	28606	1866
751	28642	1828
752	28677	1789
753	28718	1752
754	28759	1714
755	28803	1676
756	28838	1638
757	28877	1600
758	28918	1562
759	28958	1524
760	28999	1486
761	29038	1448
762	29076	1410
763	29115	1371
764	29153	1333
765	29190	1295
766	29227	1257
767	29264	1219
768	29303	1181
769	29342	1143
770	29378	1105
771	29413	1066
772	29450	1028
773	29489	990
774	29523	952
775	29561	914
776	29597	876
777	29632	837
778	29669	799
779	29710	761
780	29748	723
781	29784	685
782	29820	647
783	29856	609
784	29894	571
785	29935	533
786	29976	495
787	30017	457
788	30056	419
789	30095	380
790	30133	342
791	30172	304
792	30219	266
793	30255	228
794	30296	190
795	30332	152
796	30369	114
797	30408	76
798	30448	38
799	30485	0
